label,url,drive_id
Năm 2016,https://drive.google.com/file/d/0B-9Rk5Z1vEM3YTdfSVJkREFNSG8/view?usp=sharing,0B-9Rk5Z1vEM3YTdfSVJkREFNSG8
Năm 2017,https://drive.google.com/file/d/1807J35PADg8_XmeJzeACtpzMheC_jUn6/view?usp=sharing,1807J35PADg8_XmeJzeACtpzMheC_jUn6
Năm 2018,https://drive.google.com/file/d/1HkbZsnbZ4XzDmJW6m5PQHzdke75I5m3o/view?usp=sharing,1HkbZsnbZ4XzDmJW6m5PQHzdke75I5m3o
Năm 2019,https://drive.google.com/file/d/1wNxDnmzagRibHikaf23IUQ6kaMiw4JIK/view?usp=sharing,1wNxDnmzagRibHikaf23IUQ6kaMiw4JIK
Quý 1 năm 2018,https://drive.google.com/file/d/1RSrk-wNBhlrNoKp5hO8rjBeG_msM4SeI/view?usp=sharing,1RSrk-wNBhlrNoKp5hO8rjBeG_msM4SeI
Quý 2 năm 2018,https://drive.google.com/file/d/1yRd3itiTQ3m9lzcATzTKCwOX7YiEGLJf/view?usp=sharing,1yRd3itiTQ3m9lzcATzTKCwOX7YiEGLJf
Bán niên 2018,https://drive.google.com/file/d/1UVRto2l5CEKTI3chL9JzNK2P45gA5s0w/view?usp=sharing,1UVRto2l5CEKTI3chL9JzNK2P45gA5s0w
Quý 3 năm 2018,https://drive.google.com/file/d/16GYUskAK9IvZBQt8g7VLdmf21umVVca-/view?usp=sharing,16GYUskAK9IvZBQt8g7VLdmf21umVVca-
Quý 4 năm 2018,https://drive.google.com/file/d/1ZAGbIEuNI-xq6_DztTnW26AOfYWN5jyB/view?usp=sharing,1ZAGbIEuNI-xq6_DztTnW26AOfYWN5jyB
Báo cáo tài chính đã kiểm toán năm,https://drive.google.com/file/d/19NeBPVr6s0-dwNB6bKsEYuCQAKtnEDe6/view?usp=sharing,19NeBPVr6s0-dwNB6bKsEYuCQAKtnEDe6
Quý I năm 2019,https://drive.google.com/file/d/1SsHXdTUvboUTrVFS8dKUQ3lJtI76E8Zm/view?usp=sharing,1SsHXdTUvboUTrVFS8dKUQ3lJtI76E8Zm
Giả trình nguyên nhân tình trạng bị hủy niêm yết,https://drive.google.com/file/d/1LmWdCG3PotqqQYbWj7-9S-NeNrrDVcqZ/view?usp=sharing,1LmWdCG3PotqqQYbWj7-9S-NeNrrDVcqZ
Điều lệ (sửa đổi 2018),https://drive.google.com/file/d/1TPTBASxP711gT-jWICAOWaiCXSrUO2-r/view?usp=sharing,1TPTBASxP711gT-jWICAOWaiCXSrUO2-r
Điều lệ (sửa đổi 2019),https://drive.google.com/file/d/119D3eObAlMbrUPj-fjCDi-ZFcXSBM9cx/view?usp=sharing,119D3eObAlMbrUPj-fjCDi-ZFcXSBM9cx
Biên bản số 48/BB-DMCN & Nghị quyết số 49/NQ-DMCN Đại hội đồng cổ đông thường niên năm 2020.,https://drive.google.com/open?id=1r9utbIV0WkK_4IKoZqyX-5zdXcDCF_k1,1r9utbIV0WkK_4IKoZqyX-5zdXcDCF_k1
Thư mời họp ĐHĐCĐ thường niên năm 2020.,https://drive.google.com/file/d/1uiut9-RzJ8jxeLwR8MaeY2TSW93UR8tY/view?usp=sharing,1uiut9-RzJ8jxeLwR8MaeY2TSW93UR8tY
1. Thư mời họp ĐHĐCĐ thường niên năm 2020,https://drive.google.com/open?id=17boZQsE4-EHVTXQCbx0A_DzisSkL8AB0,17boZQsE4-EHVTXQCbx0A_DzisSkL8AB0
2. Chương trình ĐHĐCĐ thường niên năm 2020,https://drive.google.com/open?id=1fqm8mWN8u537wsUV0jJCg_A4jT0oYHdO,1fqm8mWN8u537wsUV0jJCg_A4jT0oYHdO
3.Giấy ủy quyền cá nhân tổ chức.,https://drive.google.com/open?id=1F-KQEU48fQS5OYCSjLvAGD6QS2KXzNIY,1F-KQEU48fQS5OYCSjLvAGD6QS2KXzNIY
